QueryNumbar,Query,SQL_Query,ANALYSIS,USECASE
1,Find the top 5 most dangerous combinations of weather and crash type based on total crashes. ,"SELECT WEATHER_CONDITION,CRASH_TYPE, COUNT(*) AS total_crashes FROM trafficcrash GROUP BY WEATHER_CONDITION,CRASH_TYPE ORDER BY total_crashes DESC LIMIT 5;
FROM trafficcrash
GROUP BY WEATHER_CONDITION,CRASH_TYPE
ORDER BY total_crashes DESC
LIMIT 5;","Clear weather conditions unexpectedly account for the vast majority of vehicle crashes (over 515,000 incidents). This indicates that driver behavior or higher traffic volume during clear days contributes more to crash volume than adverse weather conditions like rain.",INSURANCE
2,Identify the top 10 streets with the highest number of injury crashes. ,"SELECT STREET_NAME,SUM(INJURIES_TOTAL) AS total_injuries FROM trafficcrash GROUP BY STREET_NAME ORDER BY total_injuries DESC LIMIT 10;","Western Ave and Pulaski Rd are the most hazardous corridors in the dataset, each accounting for over 4,100 total traffic injuries. A heavy concentration of risk is localized within the top five streets—including Cicero Ave, Ashland Ave, and Halsted St—all of which surpass the 3,400 injury threshold.  Traffic enforcement should prioritize targeted infrastructure investments, such as pedestrian safety overhauls or speed reduction measures, along these specific ten corridors to achieve the greatest public safety impact.",Traffic
3,Find the percentage of crashes that resulted in injuries for each crash type. ,"SELECT CRASH_TYPE,COUNT(*) AS Total_Crashes,(SUM(INJURIES_TOTAL)) AS Total_Injuries,((SUM(INJURIES_TOTAL)/COUNT(*))*100) AS Percentage_Crashes FROM trafficcrash GROUP BY CRASH_TYPE;","The dataset reveals a fundamental structural division based on crash type classification, where property-damage-only incidents massively outnumber injury-producing events. The ""NO INJURY"" crash category accounts for the vast majority of documented incidents with 465,793 total crashes, resulting in a negligible injury rate of just 0.17% (812 total injuries). Conversely, the ""INJURY AND / OR TOW"" category comprises a smaller base of 195,141 crashes but demonstrates an extreme concentration of severity, with 73.51% of those incidents resulting in a total of 143,442 injuries.",Emergency
4,Determine the peak crash hour for each month.,"SELECT * FROM (SELECT CRASH_MONTH,CRASH_HOUR,COUNT_CRASH, DENSE_RANK() OVER (PARTITION BY CRASH_MONTH ORDER BY COUNT_CRASH DESC) AS CRASH_RANK FROM (SELECT CRASH_MONTH,CRASH_HOUR,COUNT(CRASH_HOUR) AS COUNT_CRASH FROM trafficcrash GROUP BY CRASH_MONTH,CRASH_HOUR ORDER BY CRASH_MONTH) AS SUB) AS SUB1 WHERE CRASH_RANK=1;","The query results show a remarkably consistent seasonal pattern, with peak crash hours uniformly falling in the late afternoon between 3:00 PM and 5:00 PM (hours 15 to 17) across the entire year. The 3:00 PM hour dominates the majority of the year, including winter, spring, and early autumn, reaching its absolute volume peak in May with 4,727 incidents. During the summer months of June, July, and August, the peak shifts slightly later to 4:00 PM, which likely correlates with extended daylight hours and summer travel patterns. Conversely, the year ends with a shift to 5:00 PM in November and December, coinciding with early winter sunsets and standard evening rush-hour congestion. This persistent afternoon concentration across all seasons indicates that traffic management and enforcement strategies should heavily target the 3:00 PM to 6:00 PM commuter window to maximize safety interventions.",Emergency
5,Find the top 5 primary causes of crashes during night time (CRASH_HOUR > 18). ,"SELECT PRIM_CONTRIBUTORY_CAUSE,COUNT(PRIM_CONTRIBUTORY_CAUSE) AS CAUSE_COUNT FROM trafficcrash WHERE CRASH_HOUR >=18 GROUP BY PRIM_CONTRIBUTORY_CAUSE ORDER BY CAUSE_COUNT DESC LIMIT 5;","The query results highlight a major investigative challenge alongside clear trends in driver error, with the vast majority of incidents categorized under ""UNABLE TO DETERMINE"" at 63,606 crashes. Among the definitive, actionable human factors, ""FAILING TO YIELD RIGHT-OF-WAY"" emerges as the leading primary cause with 16,213 incidents, followed closely by ""FOLLOWING TOO CLOSELY"" at 12,070 incidents. Together, these two driver behaviors represent the core areas of known risk, significantly outnumbering other dangerous maneuvers such as ""IMPROPER OVERTAKING/PASSING,"" which accounts for 7,710 incidents. This distribution indicates that public safety campaigns and traffic enforcement should focus heavily on intersection safety compliance and tailgating prevention to mitigate the most frequent preventable causes of collisions.",INSURANCE
6,Compare average number of injuries in daylight vs darkness conditions. ,"SELECT LIGHTING_CONDITION,AVG(INJURIES_TOTAL) AS AVG_INJURIES FROM trafficcrash WHERE LIGHTING_CONDITION = ""DAYLIGHT"" OR LIGHTING_CONDITION = ""DARKNESS"" GROUP BY LIGHTING_CONDITION;","The query results demonstrate that the severity of traffic incidents, measured by the average number of injuries per crash, remains relatively consistent regardless of ambient light levels, though a slight elevation exists during nighttime hours. Crashes occurring in ""DAYLIGHT"" yield an average of approximately 0.207 injuries per incident, whereas those occurring in ""DARKNESS"" experience a modest increase to roughly 0.217 injuries per incident. This subtle 4.7% relative increase in injury rates during dark conditions suggests that visibility challenges, potentially combined with higher travel speeds or delayed emergency response times at night, marginally amplify crash severity. However, because the baseline injury rate remains tightly grouped around one injury for every five crashes across both categories, broader behavioral or structural safety interventions are required globally rather than relying solely on lighting modifications.",Emergency
7,Find which traffic control device type has the highest average injuries per crash.,"SELECT TRAFFIC_CONTROL_DEVICE,AVG(INJURIES_TOTAL) AS AVG_INJURIES FROM trafficcrash GROUP BY TRAFFIC_CONTROL_DEVICE ORDER BY AVG_INJURIES DESC;","The query results show that locations marked by warning signs for vulnerable road users yield the highest injury severity, with ""BICYCLE CROSSING SIGN"" and ""PEDESTRIAN CROSSING SIGN"" leading at 0.655 and 0.623 average injuries per crash respectively. These figures are nearly double the injury rates of standard intersections controlled by ""STOP SIGN/FLASHER"" (0.337) or standard ""TRAFFIC SIGNAL"" (0.313) installations. ""FLASHING CONTROL SIGNAL"" zones also represent a high-risk category, averaging 0.446 injuries per incident. Interestingly, areas with ""NO CONTROLS"" show a significantly lower injury rate of 0.157, suggesting that drivers may exercise greater caution or travel at lower speeds in unstructured environments. Overall, this data strongly indicates that pedestrian and cyclist interaction zones require physical infrastructure segregation rather than relying solely on passive warning signage to mitigate injury risks.",Traffic
8,Identify the top 5 locations (latitude/longitude) with the highest crash frequency. ,"SELECT LOCATION,LATITUDE,LONGITUDE, COUNT(LOCATION) AS CRASH_FREQUENCY FROM trafficcrash GROUP BY LOCATION,LATITUDE,LONGITUDE ORDER BY CRASH_FREQUENCY DESC LIMIT 5;","The top location at latitude 41.9762 and longitude -87.9053 accounts for a massive 1,247 incidents, which is nearly double the volume of the second highest location (661 crashes). Interestingly, the third, fourth, and fifth highest hotspots exhibit strong spatial clustering on the city's south side, sharing a nearly identical longitude line (~ -87.58) while shifting progressively southward in latitude from 41.7914 down to 41.7222. These south-side locations maintain a high but descending frequency baseline ranging from 473 to 353 crashes. This distribution indicates that while the leading coordinate represents an isolated, critical infrastructure failure point (potentially a major highway interchange or commercial hub), the southern cluster represents a high-risk transit corridor that requires a unified, regional traffic calming strategy.To wrap up this part of your project, let me know if you would like to:Convert these coordinates into actual street intersection names using a reverse-geocoding lookup strategy.Draft Python code using Folium or Plotly to map these specific points as interactive heat map pins.Combine this spatial data with your previous findings on weather or traffic control devices.",URBAN
9,"Find the top 5 streets with the highest injury rate, considering only streets with more than 100 crashes. ","SELECT STREET_NAME,SUM(INJURIES_TOTAL) AS TOTAL_INJURIES,COUNT(STREET_NAME) AS CRASH_COUNT FROM trafficcrash GROUP BY STREET_NAME HAVING CRASH_COUNT > 100 ORDER BY TOTAL_INJURIES DESC LIMIT 5;","The query results reveal that Western Ave and Pulaski Rd are the most hazardous corridors in the dataset, leading both in overall crash volume and total injuries. Western Ave claims the highest absolute numbers with 18,377 crashes and 4,145 injuries, followed closely by Pulaski Rd with 16,072 crashes and 4,113 injuries. Across all five top-ranked corridors—including Ashland Ave and Halsted St—the baseline remains severely elevated, with every single street individually surpassing 12,000 crashes and 3,400 injuries. Consequently, these specific arterial routes represent the highest-risk networks in the city and should be prioritized for targeted traffic calming and engineering interventions.",Emergency
10,"For each year, identify the most common crash type. ","SELECT DISTINCT(year),CRASH_TYPE AS MOST_COMMON_CRASH_TYPE,CRASH_RANK FROM (SELECT year,CRASH_TYPE, DENSE_RANK() OVER (PARTITION BY year ORDER BY CRASH_TYPE) AS CRASH_RANK FROM trafficcrash) AS SUB WHERE CRASH_RANK = 1;","The most common crash type has remained completely unchanged from 2020 through 2026, with severe incidents consistently dominating the annual data. Every single year registers ""INJURY AND / OR TOW DUE TO CRASH"" as the leading classification.Because this high-severity category continuously dominates the annual rankings, it underscores a persistent public safety challenge that standard traffic management policies have failed to mitigate.",Research
